Time (s),X,Y,Sway Distance (cm),Sway Velocity (cm/s)
0.7381799221038818,687,825,12.649110640673518,146.364531440685
0.8213369846343994,681,818,4.6097722286464435,55.43452460162017
0.8975579738616943,680,825,3.5355339059327378,46.385305960666464
0.9416837692260742,677,820,2.9154759474226504,66.07191832685105
0.976395845413208,671,815,3.905124837953327,112.50046862367691
1.0251786708831787,672,821,3.0413812651491097,62.34532821435889
1.0581419467926025,671,817,2.0615528128088303,62.54089607093498
1.1057169437408447,675,829,6.324555320336759,132.93863848729978
1.1417818069458008,671,804,12.658988901172163,351.00615325313527
1.1861398220062256,675,807,2.5,56.359600324642166
1.2250480651855469,672,815,4.272001872658765,109.79683284515971
1.2681918144226074,673,828,6.519202405202649,151.10421603328447
1.3122680187225342,674,832,2.0615528128088303,46.77246703868863
1.3468730449676514,676,833,1.118033988749895,32.30842770730887
1.3966200351715088,676,833,0.0,0.0
1.473526954650879,675,834,0.7071067811865476,9.194319392499205
1.5092978477478027,671,835,2.0615528128088303,57.63213144337502
1.5608949661254883,677,821,7.615773105863909,147.60074487333267
1.6415090560913086,682,810,6.041522986797286,74.94375969956171
1.7234129905700684,678,830,10.198039027185569,124.51219946985864
1.7633037567138672,675,835,2.9154759474226504,73.08648665490402
1.8409976959228516,678,866,15.572411502397436,200.43277070184482
1.879976749420166,680,861,2.692582403567252,69.07767536614924
1.9272260665893555,677,858,2.1213203435596424,44.89631746346003
1.9614126682281494,677,858,0.0,0.0
2.0056419372558594,675,858,1.0,22.60946251165699
2.0468268394470215,671,857,2.0615528128088303,50.05603274811759
2.0930747985839844,670,857,0.5,10.811287878006784
2.173398017883301,669,856,0.7071067811865476,8.803267440658537
2.249656915664673,669,851,2.5,32.783059718057984
2.2984228134155273,667,846,2.692582403567252,55.21445370130752
2.3336808681488037,663,838,4.47213595499958,126.84012174894042
2.370769739151001,664,829,4.527692569068709,122.07685072971009
2.4182488918304443,657,805,12.5,263.2734430707736
2.458897829055786,656,807,1.118033988749895,27.50463025766091
2.4951820373535156,656,809,1.0,27.56019896574609
2.540559768676758,660,810,2.0615528128088303,45.43093611541827
2.5757977962493896,663,812,1.8027756377319946,51.15994741806004
2.6190268993377686,665,811,1.118033988749895,25.86299295787266
2.6597647666931152,662,789,11.10180165558726,272.5179882085848
2.705662965774536,669,800,6.519202405202649,142.03612637694
2.746365785598755,670,804,2.0615528128088303,50.64889414816851
2.785477876663208,674,808,2.8284271247461903,72.31592706422173
2.8262829780578613,682,814,5.0,122.53369870697462
2.9100239276885986,694,820,6.708203932499369,80.1066140529783
2.953007698059082,699,827,4.301162633521313,100.06480577317821
3.0328168869018555,709,835,6.4031242374328485,80.23041369393192
3.0735909938812256,711,835,1.0,24.525368526304096
3.1173958778381348,715,835,2.0,45.65700943226783
3.1541690826416016,713,835,1.0,27.193713611431683
3.2369320392608643,710,831,2.5,30.206750726666723
3.3196189403533936,712,846,7.566372975210778,91.50630722928852
3.3585028648376465,717,846,2.5,64.29392179825987
3.403221845626831,718,847,0.7071067811865476,15.81222936452889
3.4379918575286865,721,846,1.5811388300841898,45.47421020583009
3.483285903930664,721,844,1.0,22.077956805297482
3.520514965057373,731,802,21.587033144922902,579.8436085038918
3.561948776245117,733,789,6.576473218982953,158.72238228783144
3.6048617362976074,735,795,3.1622776601683795,73.69050413442343
3.645550012588501,735,795,0.0,0.0
3.684274911880493,722,802,7.3824115301167,190.63733321685586
3.7279160022735596,712,817,9.013878188659973,206.54566848522367
3.7672266960144043,716,816,2.0615528128088303,52.442544677526996
3.8109288215637207,707,835,10.51189802081432,240.5351659372263
3.8487308025360107,695,856,12.093386622447824,319.9140973938014
3.889227867126465,698,871,7.648529270389178,188.86626346226774
3.937187910079956,700,869,1.4142135623730951,29.48732893639222
4.017690658569336,701,881,6.020797289396148,74.7899593787214
4.053253889083862,712,880,5.522680508593631,155.29186827776525
4.0964648723602295,726,879,7.0178344238090995,162.4085797567877
4.1389548778533936,735,887,6.020797289396148,141.69914123369068
4.17422890663147,751,906,12.419742348374221,352.0931058516755
4.220290899276733,749,902,2.23606797749979,48.544751303322386
4.261470794677734,747,913,5.5901699437494745,135.74997919041806
4.301504850387573,747,912,0.5,12.489366643837656
4.343750715255737,746,916,2.0615528128088303,48.79892551004181
4.37907600402832,747,920,2.0615528128088303,58.35912131053439
4.425566911697388,746,925,2.5495097567963922,54.8388896802009
4.465240955352783,745,939,7.0178344238090995,176.88729903019862
4.50839900970459,745,951,6.0,139.023876078622
4.54417872428894,744,969,9.013878188659973,251.92705680783948
4.591723918914795,740,968,2.0615528128088303,43.3598564277994
4.6703197956085205,731,964,4.924428900898052,62.65505403149445
4.712663888931274,727,960,2.8284271247461903,66.79626136253376
4.756261825561523,726,961,0.7071067811865476,16.218812995290797
4.832949876785278,722,962,2.0615528128088303,26.88232103843374
4.877657890319824,722,961,0.5,11.183677387358081
4.914994716644287,721,960,0.7071067811865476,18.938588273188472
4.959855079650879,722,960,0.5,11.14569670170814
5.000619888305664,721,959,0.7071067811865476,17.346010064088556
5.035732984542847,721,959,0.0,0.0
5.082761764526367,721,959,0.0,0.0
5.118607044219971,721,959,0.0,0.0
5.16458797454834,719,959,1.0,21.74814630453494
5.19971776008606,716,961,1.8027756377319946,51.31758165151078
5.242136001586914,716,960,0.5,11.787381614816065
5.287850856781006,716,960,0.0,0.0
5.329056978225708,713,958,1.8027756377319946,43.750189887473056
5.364036798477173,712,956,1.118033988749895,31.962256544273558
5.408566951751709,712,952,2.0,44.91338683856874
5.452620029449463,712,952,0.0,0.0
5.493398904800415,712,948,2.0,49.04500143242185
5.530479669570923,712,949,0.5,13.484080037035133
5.57358980178833,713,949,0.5,11.598201496540701
5.611355781555176,712,951,1.118033988749895,29.604262769091548
5.655534029006958,713,952,0.7071067811865476,16.005768041349086
5.695154905319214,712,953,0.7071067811865476,17.846823366898107
5.739984750747681,712,953,0.0,0.0
5.787225961685181,712,950,1.5,31.751937984496124
5.855727672576904,710,948,1.4142135623730951,20.644937826566903
5.9048779010772705,710,948,0.0,0.0
5.938739776611328,710,948,0.0,0.0
5.983796834945679,709,948,0.5,11.097040474540037
6.0237717628479,708,949,0.7071067811865476,17.68875688571908
6.0666327476501465,708,951,1.0,23.33124179516276
6.102863788604736,708,950,0.5,13.800321128688374
6.147439002990723,708,950,0.0,0.0
6.1860809326171875,708,951,0.5,12.939312421333202
6.228310823440552,708,951,0.0,0.0
6.272832870483398,708,950,0.5,11.230391080599125
6.351426839828491,708,948,1.0,12.723622541688533
6.394274950027466,710,947,1.118033988749895,26.092959142376607
6.430652856826782,712,947,1.0,27.489212216542143
6.479950904846191,712,947,0.0,0.0
6.560889959335327,713,947,0.5,6.177487532512673
6.644246816635132,714,948,0.7071067811865476,8.482886760513756
6.7205119132995605,714,947,0.5,6.556079017378446
6.759951829910278,714,947,0.0,0.0
6.803436994552612,714,949,1.0,22.996348484017766
6.847332954406738,714,950,0.5,11.39056992173285
6.927050828933716,714,950,0.0,0.0
6.9680869579315186,713,951,0.7071067811865476,17.2313227016225
7.005444049835205,713,953,1.0,26.76867895868834
7.053483963012695,714,955,1.118033988749895,23.27302267635582
7.135637998580933,713,953,1.118033988749895,13.608996575965568
7.213180780410767,712,953,0.5,6.448053425491486
7.253194808959961,712,953,0.0,0.0
7.2928056716918945,713,953,0.5,12.622800048152161
7.336580753326416,713,952,0.5,11.42202324542771
7.375218868255615,713,951,0.5,12.940589904973466
7.419906854629517,712,951,0.5,11.188689412329607
7.455950975418091,712,948,1.5,41.61566344754597
7.501203775405884,712,948,0.0,0.0
7.537616729736328,712,947,0.5,13.731376901268277
7.583545923233032,711,946,0.7071067811865476,15.395584536821659
7.618571996688843,711,946,0.0,0.0
7.668733835220337,710,944,1.118033988749895,22.288536893398287
7.746866941452026,709,945,0.7071067811865476,9.05002777042745
7.789414882659912,709,945,0.0,0.0
7.86867880821228,709,943,1.0,12.616079673461531
7.909955024719238,709,942,0.5,12.113513357400722
7.952552795410156,709,939,1.5,35.213110349922765
7.987121820449829,709,939,0.0,0.0
8.033048868179321,706,937,1.8027756377319946,39.25302685141542
8.07335090637207,706,935,1.0,24.812640869858434
8.118478059768677,707,936,0.7071067811865476,15.669208624174418
8.154924869537354,709,937,1.118033988749895,30.67577096173612
8.201796770095825,710,937,0.5,10.667372008443754
8.237058877944946,710,933,2.0,56.718106828938474
8.280910968780518,711,932,0.7071067811865476,16.124813383196024
8.315953731536865,711,931,0.5,14.268281398829773
8.364957809448242,711,932,0.5,10.20323249228853
