Time (s),X,Y,Sway Distance (cm),Sway Velocity (cm/s)
0.7877187728881836,607,-73,10.63014581273465,128.49379838881867
0.8253247737884521,624,-90,12.020815280171307,319.651518172608
0.9888546466827393,681,327,210.43882721589188,1286.8525089108873
1.067753791809082,684,324,2.1213203435596424,26.88648071107399
1.1094305515289307,690,320,3.605551275463989,86.51227445944745
1.1551787853240967,695,315,3.5355339059327378,77.2824131694964
1.2343156337738037,697,315,1.0,12.636338438919752
1.2748377323150635,697,325,5.0,123.38946352714136
1.3178868293762207,697,327,1.0,23.229290932150352
1.3573975563049316,696,332,2.5495097567963922,64.52702734111837
1.3983638286590576,695,334,1.118033988749895,27.29157242048386
1.4375817775726318,691,334,2.0,50.99705760766481
1.4767448902130127,689,334,1.0,25.534231897821773
1.5234408378601074,685,334,2.0,42.83026902280746
1.558619737625122,683,327,3.640054944640259,103.47267734223703
1.6046116352081299,680,323,2.5,54.357400572305394
1.6414389610290527,678,323,1.0,27.153750040462242
1.6776857376098633,675,317,3.3541019662496847,92.53517919784856
1.7230536937713623,676,318,0.7071067811865476,15.58604003824676
1.7650208473205566,674,313,2.692582403567252,64.15928114855296
1.8055098056793213,673,312,0.7071067811865476,17.464188011976358
1.8524138927459717,670,311,1.5811388300841898,33.71004381425018
1.8911328315734863,670,310,0.5,12.913577054045899
1.9309837818145752,668,307,1.8027756377319946,45.2379586139258
1.9712908267974854,667,304,1.5811388300841898,39.22735667560297
2.014314889907837,664,302,1.8027756377319946,41.901566411988824
2.057445764541626,663,299,1.5811388300841898,36.65909498727191
2.0963006019592285,661,295,2.23606797749979,57.54928153390693
2.133795738220215,658,292,2.1213203435596424,56.57588037003283
2.1759376525878906,658,290,1.0,23.729344406979113
2.2156107425689697,657,290,0.5,12.603001183887116
2.2603976726531982,655,291,1.118033988749895,24.96339862203694
2.298499822616577,652,292,1.5811388300841898,41.49736515141189
2.3391706943511963,651,296,2.0615528128088303,50.68868024911381
2.379288673400879,649,300,2.23606797749979,55.737303584774665
2.423877716064453,649,305,2.5,56.067586354400596
2.4640939235687256,648,306,0.7071067811865476,17.582632104517227
2.5061838626861572,643,306,2.5,59.396617158911965
2.546461820602417,643,306,0.0,0.0
2.58540678024292,643,304,1.0,25.67726373915652
2.626107692718506,648,304,2.5,61.42368433384882
2.6670846939086914,648,307,1.5,36.60589980799441
2.7123305797576904,659,305,5.5901699437494745,123.55090057040283
2.7535696029663086,669,307,5.0990195135927845,123.6454968343476
2.79380464553833,679,308,5.024937810560445,124.88958602605457
2.875666856765747,695,326,12.041594578792296,147.09588707957315
2.9181859493255615,708,326,6.5,152.87250053269634
2.9566898345947266,727,316,10.735455276791944,278.8148572993279
2.9949886798858643,739,307,7.5,195.82835834832574
3.036480665206909,741,307,1.0,24.101040050565995
3.0770676136016846,747,298,5.408326913195984,133.25285903712285
3.118846893310547,751,288,5.385164807134504,128.89558758937127
3.159925699234009,761,289,5.024937810560445,122.32433970751039
3.1961617469787598,766,290,2.5495097567963922,70.35838386005287
3.2446746826171875,767,289,0.7071067811865476,14.57563373316949
3.3262157440185547,762,290,2.5495097567963922,31.266575550776984
3.3638687133789062,762,281,4.5,119.51248670280128
3.4102296829223633,760,273,4.123105625617661,88.93484468121005
3.44815993309021,754,268,3.905124837953327,102.95542003210107
3.489952564239502,743,273,6.041522986797286,144.55952689879004
