Tap Times (s),Inter-Tap Interval (s),Amplitude (pixels)
1742110651.095924,,180.8009955724802
1742110651.5651999,0.46927595138549805,155.2610704587599
1742110651.965249,0.40004920959472656,136.01470508735443
1742110652.231337,0.26608800888061523,96.42095207992918
1742110652.620668,0.3893308639526367,43.32435804486894
1742110652.889982,0.2693140506744385,33.24154027718932
1742110653.292505,0.4025230407714844,37.12142238654117
1742110653.553256,0.26075100898742676,36.05551275463989
1742110653.886282,0.3330259323120117,146.08559134972896
1742110654.278631,0.3923490047454834,220.4835594777987
1742110654.537843,0.25921201705932617,210.2974084481309
1742110654.8697112,0.33186817169189453,33.06055050963308
1742110655.132844,0.26313281059265137,33.13608305156178
1742110655.389605,0.2567610740661621,178.53851125177448
1742110655.7125309,0.3229258060455322,242.29321080046796
1742110656.0453918,0.33286094665527344,213.88314566603887
1742110656.309097,0.2637052536010742,200.68383093812017
1742110656.643431,0.3343338966369629,41.6293165929973
1742110656.973282,0.3298511505126953,117.64352935882194
1742110657.245545,0.2722628116607666,221.82200071228283
1742110657.509109,0.2635641098022461,218.07338214463496
1742110657.836184,0.3270750045776367,40.607881008493905
1742110658.095422,0.25923800468444824,40.80441152620633
1742110658.4152682,0.31984615325927734,149.18780110987626
1742110658.748839,0.3335707187652588,242.03305559365234
1742110659.0825322,0.333693265914917,234.77648945326703
1742110659.413505,0.33097290992736816,63.63961030678928
1742110659.7490659,0.33556079864501953,39.293765408777
1742110660.08696,0.3378942012786865,180.0499930574839
1742110660.415432,0.3284718990325928,227.90348834539589
1742110660.682183,0.2667510509490967,224.770994570029
1742110661.0206091,0.3384261131286621,51.15662224971465
1742110661.2819579,0.2613487243652344,36.40054944640259
