Time (s),X,Y,Deviation (pixels),Velocity (px/s)
1742110765.944007,253,250,0.7136007797357515,4.202508835058723
1742110766.61704,255,252,0.3070972958163857,11.08152861858227
1742110767.793629,254,265,1.049145065448938,16.167600640074433
1742110769.2806542,231,272,0.5429724712546223,5.358557295188546
1742110769.808488,229,270,1.676150878984326,37.63088677364082
1742110770.3189561,217,255,4.792688971645655,30.851557500394637
1742110770.846606,214,239,5.8744556834240145,31.30194627264133
1742110771.1100469,212,231,3.3824990752145796,35.73087080231033
1742110771.1380339,212,230,3.139018585304273,0.0
1742110771.151744,212,230,3.139018585304273,61.083579698536376
1742110771.168115,212,229,3.203993658536764,57.24136801594017
1742110771.1855848,212,228,3.56057762856,0.0
1742110771.219071,212,228,3.56057762856,59.94089233143739
1742110771.235754,212,227,2.7911697865145517,0.0
1742110771.2529972,212,227,2.7911697865145517,61.92774144015119
1742110771.269145,212,226,2.200975221845776,0.0
1742110771.287037,212,226,2.200975221845776,61.88114488049572
1742110771.303197,212,225,1.9743239544731355,0.0
1742110771.3200588,212,225,1.9743239544731355,61.123637423491694
1742110771.336419,212,224,2.225223185937495,0.0
1742110771.353131,212,224,2.225223185937495,60.244811192025395
1742110771.36973,212,223,2.634485080419417,0.0
1742110771.3862882,212,223,2.634485080419417,0.0
1742110771.4025002,212,223,2.634485080419417,29.901007321437483
1742110771.4359438,212,222,1.644175949846084,0.0
1742110771.452425,212,222,1.644175949846084,30.105973384630843
1742110771.485641,212,221,0.682727961308193,0.0
1742110771.503514,212,221,0.682727961308193,0.0
1742110771.5522728,212,221,0.682727961308193,29.676119318503424
1742110771.58597,212,220,0.47845625113672674,58.34903941126553
1742110771.6031082,212,219,1.4112842730476307,61.892860005142666
1742110771.6392362,214,218,2.1702605782090796,68.23667984446939
1742110771.653891,214,217,1.1711031877019387,85.34367727314968
1742110771.670462,215,216,1.0787898457786484,87.3996817574663
1742110771.686643,216,215,2.2262282871405166,84.84439869429744
1742110771.7033112,217,214,2.5814662655129545,60.39140701491678
1742110771.7198699,217,213,1.5929843475071204,139.5979528206013
1742110771.7358878,218,211,1.3777604545157154,138.3520757394161
1742110771.75205,220,210,2.7381338947879366,42.40006291425637
1742110771.785404,221,209,2.016581464614111,33.8564018351354
1742110771.8689458,223,207,3.0339821948558745,61.87785431356863
1742110772.053208,232,200,3.4266930924956687,52.626044971213545
1742110772.3356931,246,195,4.12816841859673,43.65135710744613
